episode,score,epsilon,steps,alpha,end_reason
177,2,0.8855233145028568,34,0.01,crash
178,0,0.8849118278921234,27,0.01,crash
179,0,0.8843007635355181,12,0.01,crash
180,0,0.8836901211414588,9,0.01,crash
181,1,0.8830799004185649,16,0.01,crash
182,0,0.8824701010756567,33,0.01,crash
183,1,0.8818607228217558,28,0.01,crash
184,1,0.8812517653660845,27,0.01,crash
185,0,0.8806432284180663,15,0.01,crash
186,0,0.880035111687325,7,0.01,crash
187,0,0.8794274148836849,18,0.01,crash
188,0,0.878820137717171,37,0.01,crash
189,1,0.8782132798980083,41,0.01,crash
190,0,0.8776068411366219,25,0.01,crash
191,0,0.8770008211436369,10,0.01,crash
192,1,0.8763952196298782,23,0.01,crash
193,0,0.8757900363063704,23,0.01,crash
194,1,0.8751852708843377,21,0.01,crash
195,0,0.8745809230752037,21,0.01,crash
196,0,0.8739769925905913,21,0.01,crash
197,0,0.8733734791423222,15,0.01,crash
198,0,0.8727703824424177,38,0.01,crash
199,0,0.8721677022030975,14,0.01,crash
200,1,0.8715654381367801,21,0.01,crash
201,2,0.8709635899560828,38,0.01,crash
202,0,0.870362157373821,22,0.01,crash
203,0,0.8697611401030088,24,0.01,crash
204,0,0.8691605378568581,17,0.01,crash
205,1,0.8685603503487791,27,0.01,crash
206,0,0.8679605772923799,37,0.01,crash
207,0,0.8673612184014661,51,0.01,crash
208,1,0.8667622733900412,8,0.01,crash
209,0,0.8661637419723062,11,0.01,crash
210,1,0.8655656238626591,33,0.01,crash
211,0,0.8649679187756957,39,0.01,crash
212,1,0.8643706264262083,27,0.01,crash
213,1,0.8637737465291865,11,0.01,crash
214,0,0.8631772787998165,5,0.01,crash
215,0,0.8625812229534815,7,0.01,crash
216,1,0.8619855787057609,8,0.01,crash
217,0,0.8613903457724306,34,0.01,crash
218,2,0.8607955238694629,12,0.01,crash
219,0,0.860201112713026,12,0.01,crash
220,0,0.8596071120194844,6,0.01,crash
221,1,0.8590135215053981,36,0.01,crash
222,0,0.8584203408875232,20,0.01,crash
223,0,0.857827569882811,17,0.01,crash
224,0,0.8572352082084085,16,0.01,crash
225,0,0.8566432555816581,28,0.01,crash
226,0,0.8560517117200972,12,0.01,crash
227,1,0.8554605763414582,9,0.01,crash
228,0,0.8548698491636687,24,0.01,crash
229,0,0.8542795299048508,56,0.01,crash
230,0,0.8536896182833215,24,0.01,crash
231,0,0.853100114017592,8,0.01,crash
232,1,0.8525110168263681,27,0.01,crash
233,1,0.8519223264285498,20,0.01,crash
234,0,0.8513340425432312,13,0.01,crash
235,0,0.8507461648897005,11,0.01,crash
236,0,0.8501586931874394,44,0.01,crash
237,1,0.8495716271561237,64,0.01,crash
238,2,0.8489849665156225,50,0.01,crash
239,0,0.8483987109859985,11,0.01,crash
240,0,0.8478128602875077,7,0.01,crash
241,1,0.8472274141405991,24,0.01,crash
242,0,0.846642372265915,26,0.01,crash
243,0,0.8460577343842903,16,0.01,crash
244,1,0.845473500216753,12,0.01,crash
245,0,0.8448896694845236,28,0.01,crash
246,0,0.8443062419090149,24,0.01,crash
247,0,0.8437232172118325,42,0.01,crash
248,0,0.8431405951147739,16,0.01,crash
249,0,0.8425583753398288,9,0.01,crash
250,0,0.8419765576091789,7,0.01,crash
251,1,0.8413951416451978,18,0.01,crash
252,0,0.8408141271704507,38,0.01,crash
253,0,0.8402335139076944,24,0.01,crash
254,1,0.8396533015798773,30,0.01,crash
255,0,0.8390734899101389,5,0.01,crash
256,0,0.8384940786218099,9,0.01,crash
257,0,0.8379150674384123,23,0.01,crash
258,1,0.8373364560836587,51,0.01,crash
259,0,0.8367582442814527,65,0.01,crash
260,0,0.8361804317558885,23,0.01,crash
261,0,0.8356030182312507,15,0.01,crash
262,0,0.8350260034320145,27,0.01,crash
263,0,0.8344493870828452,16,0.01,crash
264,1,0.8338731689085984,13,0.01,crash
265,0,0.8332973486343195,15,0.01,crash
266,0,0.8327219259852437,17,0.01,crash
267,0,0.8321469006867964,24,0.01,crash
268,0,0.8315722724645921,14,0.01,crash
269,0,0.830998041044435,7,0.01,crash
270,0,0.8304242061523185,16,0.01,crash
271,0,0.8298507675144254,14,0.01,crash
272,1,0.8292777248571276,27,0.01,crash
273,1,0.8287050779069857,11,0.01,crash
274,0,0.8281328263907493,17,0.01,crash
275,0,0.8275609700353567,46,0.01,crash
276,0,0.8269895085679347,14,0.01,crash
277,1,0.8264184417157986,13,0.01,crash
278,2,0.8258477692064519,106,0.01,crash
279,0,0.8252774907675863,9,0.01,crash
280,0,0.8247076061270815,7,0.01,crash
281,0,0.8241381150130053,12,0.01,crash
282,1,0.823569017153613,12,0.01,crash
283,0,0.8230003122773477,10,0.01,crash
284,0,0.8224320001128401,16,0.01,crash
285,0,0.8218640803889082,12,0.01,crash
286,0,0.8212965528345573,48,0.01,crash
287,0,0.8207294171789796,33,0.01,crash
288,0,0.8201626731515548,16,0.01,crash
289,1,0.8195963204818489,28,0.01,crash
290,0,0.8190303588996151,14,0.01,crash
291,0,0.8184647881347928,5,0.01,crash
292,0,0.8178996079175084,27,0.01,crash
293,3,0.8173348179780742,47,0.01,crash
294,0,0.8167704180469889,25,0.01,crash
295,0,0.8162064078549374,39,0.01,crash
296,1,0.8156427871327904,16,0.01,crash
297,1,0.8150795556116045,6,0.01,crash
298,3,0.8145167130226222,41,0.01,crash
299,0,0.8139542590972713,24,0.01,crash
300,0,0.8133921935671651,14,0.01,crash
301,1,0.8128305161641024,25,0.01,crash
302,1,0.8122692266200672,38,0.01,crash
303,0,0.8117083246672283,16,0.01,crash
304,1,0.8111478100379399,37,0.01,crash
305,0,0.8105876824647406,18,0.01,crash
306,0,0.8100279416803537,9,0.01,crash
307,1,0.8094685874176876,38,0.01,crash
308,0,0.8089096194098344,26,0.01,crash
309,3,0.8083510373900711,56,0.01,crash
310,0,0.8077928410918584,15,0.01,crash
311,0,0.8072350302488416,17,0.01,crash
312,1,0.8066776045948493,20,0.01,crash
313,0,0.8061205638638944,25,0.01,crash
314,0,0.8055639077901733,10,0.01,crash
315,1,0.8050076361080659,60,0.01,crash
316,0,0.8044517485521356,9,0.01,crash
317,0,0.8038962448571292,28,0.01,crash
318,3,0.8033411247579764,38,0.01,crash
319,0,0.80278638798979,29,0.01,crash
320,0,0.8022320342878658,16,0.01,crash
321,1,0.8016780633876825,23,0.01,crash
322,1,0.8011244750249013,29,0.01,crash
323,0,0.8005712689353658,10,0.01,crash
324,0,0.8000184448551024,11,0.01,crash
325,2,0.7994660025203195,35,0.01,crash
326,0,0.7989139416674077,14,0.01,crash
327,0,0.7983622620329397,12,0.01,crash
328,1,0.79781096335367,10,0.01,crash
329,0,0.7972600453665349,18,0.01,crash
330,1,0.7967095078086526,20,0.01,crash
331,0,0.7961593504173223,9,0.01,crash
332,0,0.7956095729300252,13,0.01,crash
333,1,0.7950601750844234,12,0.01,crash
334,0,0.7945111566183602,14,0.01,crash
335,1,0.7939625172698602,61,0.01,crash
336,1,0.7934142567771285,29,0.01,crash
337,0,0.7928663748785513,18,0.01,crash
338,2,0.7923188713126952,45,0.01,crash
339,0,0.7917717458183076,16,0.01,crash
340,0,0.791224998134316,29,0.01,crash
341,0,0.7906786279998286,16,0.01,crash
342,1,0.7901326351541332,12,0.01,crash
343,1,0.7895870193366982,7,0.01,crash
344,0,0.7890417802871714,24,0.01,crash
345,0,0.7884969177453808,28,0.01,crash
346,0,0.7879524314513338,18,0.01,crash
347,1,0.7874083211452174,17,0.01,crash
348,1,0.7868645865673981,24,0.01,crash
349,0,0.7863212274584216,13,0.01,crash
350,2,0.7857782435590126,32,0.01,crash
351,0,0.7852356346100752,24,0.01,crash
352,0,0.7846934003526922,14,0.01,crash
353,0,0.7841515405281252,27,0.01,crash
354,1,0.7836100548778144,16,0.01,crash
355,1,0.7830689431433788,14,0.01,crash
356,0,0.7825282050666156,18,0.01,crash
357,0,0.7819878403895002,19,0.01,crash
358,3,0.7814478488541865,68,0.01,crash
359,0,0.7809082302030061,6,0.01,crash
360,1,0.780368984178469,55,0.01,crash
361,0,0.7798301105232625,11,0.01,crash
362,0,0.7792916089802517,25,0.01,crash
363,0,0.7787534792924796,21,0.01,crash
364,0,0.7782157212031664,9,0.01,crash
365,0,0.7776783344557094,15,0.01,crash
366,0,0.7771413187936835,34,0.01,crash
367,1,0.7766046739608404,29,0.01,crash
368,0,0.7760683997011089,11,0.01,crash
369,0,0.7755324957585944,7,0.01,crash
370,1,0.7749969618775793,18,0.01,crash
371,0,0.7744617978025224,9,0.01,crash
372,0,0.7739270032780591,47,0.01,crash
373,0,0.7733925780490009,17,0.01,crash
374,1,0.7728585218603357,50,0.01,crash
375,1,0.7723248344572274,19,0.01,crash
376,1,0.7717915155850161,44,0.01,crash
377,1,0.7712585649892175,24,0.01,crash
378,1,0.770725982415523,20,0.01,crash
379,0,0.7701937676097999,8,0.01,crash
380,1,0.7696619203180907,17,0.01,crash
381,0,0.7691304402866134,15,0.01,crash
382,0,0.7685993272617612,25,0.01,crash
383,0,0.7680685809901024,20,0.01,crash
384,0,0.7675382012183806,11,0.01,crash
385,0,0.7670081876935138,8,0.01,crash
386,0,0.766478540162595,28,0.01,crash
387,1,0.7659492583728919,14,0.01,crash
388,1,0.7654203420718466,32,0.01,crash
389,0,0.7648917910070757,33,0.01,crash
390,1,0.7643636049263701,39,0.01,crash
391,0,0.7638357835776948,20,0.01,crash
392,2,0.7633083267091887,75,0.01,crash
393,4,0.7627812340691649,92,0.01,crash
394,1,0.7622545054061101,32,0.01,crash
395,2,0.7617281404686846,72,0.01,crash
396,1,0.7612021390057226,24,0.01,crash
397,1,0.7606765007662315,36,0.01,crash
398,0,0.760151225499392,9,0.01,crash
399,0,0.7596263129545581,46,0.01,crash
400,1,0.7591017628812567,37,0.01,crash
401,1,0.758577575029188,18,0.01,crash
402,1,0.7580537491482248,19,0.01,crash
403,2,0.7575302849884125,45,0.01,crash
404,0,0.7570071822999693,9,0.01,crash
405,0,0.756484440833286,17,0.01,crash
406,1,0.7559620603389255,17,0.01,crash
407,0,0.7554400405676232,27,0.01,crash
408,1,0.7549183812702862,26,0.01,crash
409,0,0.7543970821979942,33,0.01,crash
410,0,0.7538761431019982,12,0.01,crash
411,2,0.7533555637337215,72,0.01,crash
412,1,0.7528353438447586,36,0.01,crash
413,0,0.7523154831868758,12,0.01,crash
414,1,0.7517959815120109,7,0.01,crash
415,1,0.7512768385722727,29,0.01,crash
416,1,0.7507580541199412,19,0.01,crash
417,1,0.7502396279074678,81,0.01,crash
418,0,0.7497215596874746,19,0.01,crash
419,1,0.7492038492127544,11,0.01,crash
420,0,0.7486864962362709,64,0.01,crash
421,1,0.7481695005111585,16,0.01,crash
422,2,0.7476528617907218,41,0.01,crash
423,0,0.7471365798284357,11,0.01,crash
424,1,0.7466206543779458,22,0.01,crash
425,0,0.7461050851930673,16,0.01,crash
426,2,0.7455898720277857,57,0.01,crash
427,0,0.7450750146362562,25,0.01,crash
428,1,0.7445605127728041,10,0.01,crash
429,0,0.7440463661919239,16,0.01,crash
430,1,0.7435325746482798,15,0.01,crash
431,0,0.7430191378967056,31,0.01,crash
432,0,0.7425060556922042,29,0.01,crash
433,0,0.7419933277899476,10,0.01,crash
434,0,0.7414809539452772,8,0.01,crash
435,1,0.7409689339137031,49,0.01,crash
436,0,0.7404572674509042,18,0.01,crash
437,1,0.7399459543127282,34,0.01,crash
438,4,0.7394349942551914,35,0.01,crash
439,1,0.7389243870344785,31,0.01,crash
440,0,0.7384141324069426,8,0.01,crash
441,0,0.7379042301291052,17,0.01,crash
442,0,0.7373946799576557,11,0.01,crash
443,0,0.7368854816494517,13,0.01,crash
